"Date","Passage"
"10-28","Luk 3-4"
"10-29","Luk 5-6"
"10-30","Luk 7-8"
"10-31","Luk 9"
"11-01","Luk 10-11"
"11-02","Luk 12-13"
"11-03","Luk 14-16"
"11-04","Luk 17-19"
"11-05","Luk 20-21"
"11-06","Luk 22-23"
"11-07","Luk 24; John 1"
"11-08","John 2-4"
"11-09","John 5-6"
"11-10","John 7"
"11-11","John 8-9"
"11-12","John 10-11"
"11-13","John 12-14"
"11-14","John 15-17"
"11-15","John 18-19"
"11-16","John 20-21; Acts 1"
"11-17","Acts 2-4"
"11-18","Acts 5-7"
"11-19","Acts 8-9"
"11-20","Acts 10-11"
"11-21","Acts 12-13"
"11-22","Acts 14-16"
"11-23","Acts 17-19"
"11-24","Acts 20-21"
"11-25","Acts 22-23"
"11-26","Acts 24-26"
"11-27","Acts 27-28; Rom 1"
"11-28","Rom 2-4"
"11-29","Rom 5-8"
"11-30","Rom 9-11"
"12-01","Rom 12-15"
"12-02","Rom 16; 1 Co 1-3"
"12-03","1 Co 4-7"
"12-04","1 Co 8-11"
"12-05","1 Co 12-14"
"12-06","1 Co 15-16; 2 Co 1"
"12-07","2 Co 2-6"
"12-08","2 Co 7-10"
"12-09","2 Co 11-13; Gal 1-2"
"12-10","Gal 3-5"
"12-11","Gal 6; Eph 1-4"
"12-12","Eph 5-6; Phil 1"
"12-13","Phil 2-4; Col 1"
"12-14","Col 2-4; 1 Th 1-2"
"12-15","1 Th 3-5; 2 Th 1-3"
"12-16","1 Ti 1-6"
"12-17","2 Ti 1-4; Tit 1"
"12-18","Tit 2-3; Phlm; Heb 1-3"
"12-19","Heb 4-8"
"12-20","Heb 9-10"
"12-21","Heb 11-13; Jam 1"
"12-22","Jam 2-5"
"12-23","1 Pe 1-5"
"12-24","2 Pe 1-3; 1 Jn 1"
"12-25","1 Jn 2-5"
"12-26","2 Jn; 3 Jn; Jude; Rev 1-2"
"12-27","Rev 3-6"
"12-28","Rev 7-10"
"12-29","Rev 11-15"
"12-30","Rev 16-18"
"12-31","Rev 19-22"
